depressive disorder,1
drug-induced liver injury,2
mercury poisoning,3
necrosis,4
neoplasms,5
"anemia, hemolytic",6
attention deficit and disruptive behavior disorders,7
autistic disorder,8
cognition disorders,9
cystitis,10
heavy metal toxicity,11
hemolysis,12
hypertension,13
lead poisoning,14
learning disorders,15
lung injury,16
"micronuclei, chromosome-defective",17
pneumonia,18
anxiety disorders,19
ataxia,20
autoimmune diseases,21
brain diseases,22
brain edema,23
brain injuries,24
cardiomyopathies,25
craniofacial abnormalities,26
death,27
"disease models, animal",28
drug toxicity,29
epilepsy,30
"epilepsy, absence",31
fetal growth retardation,32
hyperkinesis,33
"hypersensitivity, delayed",34
kidney diseases,35
"lead poisoning, nervous system",36
memory disorders,37
movement disorders,38
myoclonus,39
nerve degeneration,40
prenatal exposure delayed effects,41
"reflex, abnormal",42
seizures,43
splenomegaly,44
status epilepticus,45
weight loss,46
carcinoma,47
"liver neoplasms, experimental",48
melanoma,49
prostatic neoplasms,50
"respiratory distress syndrome, adult",51
urinary bladder neoplasms,52
"abnormalities, drug-induced",53
"abnormalities, multiple",54
acne vulgaris,55
activated protein c resistance,56
acute kidney injury,57
adenocarcinoma,58
"adenoma, liver cell",59
adrenal insufficiency,60
adrenocortical hyperfunction,61
albuminuria,62
alcoholism,63
alopecia,64
amenorrhea,65
amnesia,66
anemia,67
"anemia, iron-deficiency",68
"anemia, macrocytic",69
aneuploidy,70
angioedema,71
anorexia,72
"arrhythmias, cardiac",73
arterial occlusive diseases,74
arteriosclerosis,75
"arthritis, experimental",76
asthenozoospermia,77
atherosclerosis,78
atrial septal defect 2,79
atrophy,80
attention deficit disorder with hyperactivity,81
biliary dyskinesia,82
birth weight,83
blood coagulation disorders,84
body weight changes,85
bone diseases,86
"bone diseases, developmental",87
bone marrow diseases,88
bone resorption,89
brain ischemia,90
breast diseases,91
breast neoplasms,92
bronchial hyperreactivity,93
budd-chiari syndrome,94
cadmium poisoning,95
"candidiasis, vulvovaginal",96
"carcinoma, endometrioid",97
"carcinoma, hepatocellular",98
carcinoma in situ,99
cardiomegaly,100
"cardiomyopathy, hypertrophic",101
cardiovascular abnormalities,102
cardiovascular diseases,103
carotid artery thrombosis,104
catalepsy,105
"cell transformation, neoplastic",106
cerebral hemorrhage,107
cerebral infarction,108
child behavior disorders,109
chloracne,110
cholangiocarcinoma,111
choledochal cyst,112
cholestasis,113
"cholestasis, intrahepatic",114
chromosome aberrations,115
chronobiology disorders,116
cleft lip,117
cleft palate,118
cocaine-related disorders,119
colitis,120
congenital abnormalities,121
"congenital, hereditary, and neonatal diseases and abnormalities",122
coronary artery disease,123
coronary occlusion,124
coxsackievirus infections,125
cystadenoma,126
cysts,127
"diabetes mellitus, type 1",128
"diabetes mellitus, type 2",129
diabetic nephropathies,130
diarrhea,131
disorders of sex development,132
disseminated intravascular coagulation,133
dizziness,134
drug hypersensitivity,135
dyslipidemias,136
dysmenorrhea,137
dysostoses,138
dyspepsia,139
dysuria,140
ear neoplasms,141
eating disorders,142
ebstein anomaly,143
ectrodactyly,144
edema,145
"edema, cardiac",146
embryo loss,147
"encephalomyelitis, autoimmune, experimental",148
endometrial neoplasms,149
endometriosis,150
epstein-barr virus infections,151
eye abnormalities,152
eye diseases,153
fatigue,154
fatty liver,155
feminization,156
fetal death,157
fetal diseases,158
fibrosis,159
folic acid deficiency,160
gallbladder diseases,161
gallbladder neoplasms,162
gallstones,163
"genital diseases, female",164
"genital diseases, male",165
glucose intolerance,166
glucose metabolism disorders,167
glycosuria,168
gonadal disorders,169
growth disorders,170
gynecomastia,171
hamartoma,172
hashimoto&apos;s encephalitis,173
headache,174
hearing disorders,175
"heart defects, congenital",176
heart diseases,177
heart failure,178
"heart septal defects, ventricular",179
hematuria,180
hemorrhage,181
hepatomegaly,182
herpes genitalis,183
hirsutism,184
hot flashes,185
hydronephrosis,186
hyperalgesia,187
hyperglycemia,188
hyperlipidemias,189
hyperplasia,190
hyperprolactinemia,191
"hypertension, malignant",192
"hypertension, renovascular",193
hyperthyroidism,194
hypertriglyceridemia,195
hypertrophy,196
"hypertrophy, left ventricular",197
hypocalcemia,198
hypokinesia,199
hypospadias,200
immune system diseases,201
immunologic deficiency syndromes,202
"infant, newborn, diseases",203
infertility,204
"infertility, female",205
"infertility, male",206
inflammation,207
insulin resistance,208
intestinal diseases,209
intestinal neoplasms,210
intracranial embolism and thrombosis,211
intracranial hemorrhages,212
iron overload,213
"jaundice, obstructive",214
jaw abnormalities,215
"keratitis, herpetic",216
kidney neoplasms,217
lactation disorders,218
leiomyoma,219
"liver cirrhosis, experimental",220
liver diseases,221
liver neoplasms,222
lung diseases,223
lung neoplasms,224
"lupus erythematosus, systemic",225
lymphatic diseases,226
lymphoma,227
lymphopenia,228
"mammary neoplasms, animal",229
"mammary neoplasms, experimental",230
manganese poisoning,231
medulloblastoma,232
melanosis,233
mesothelioma,234
metaplasia,235
metrorrhagia,236
microcephaly,237
mood disorders,238
musculoskeletal abnormalities,239
myocardial infarction,240
myocardial ischemia,241
myocardial reperfusion injury,242
myocarditis,243
nausea,244
neoplasm invasiveness,245
neoplasm metastasis,246
"neoplasms, experimental",247
"neovascularization, pathologic",248
nephritis,249
nervous system diseases,250
nervous system malformations,251
neural tube defects,252
neuronal migration disorders,253
neurotoxicity syndromes,254
olfaction disorders,255
oligospermia,256
"osteoporosis, postmenopausal",257
ovarian cysts,258
ovarian diseases,259
ovarian neoplasms,260
pain,261
pancreatic neoplasms,262
panic disorder,263
paralysis,264
parkinson disease,265
peanut hypersensitivity,266
peliosis hepatis,267
pericardial effusion,268
pigmentation disorders,269
pituitary diseases,270
pituitary neoplasms,271
placenta diseases,272
pneumococcal infections,273
poisoning,274
polycystic ovary syndrome,275
polyuria,276
porphyria cutanea tarda,277
"porphyrias, hepatic",278
precancerous conditions,279
pre-eclampsia,280
premature birth,281
prenatal injuries,282
prolactinoma,283
prostatic diseases,284
prostatic hyperplasia,285
prostatic intraepithelial neoplasia,286
prostatitis,287
proteinuria,288
pruritus,289
psychotic disorders,290
"puberty, delayed",291
"puberty, precocious",292
pulmonary embolism,293
pyelonephritis,294
respiratory system abnormalities,295
salivary gland diseases,296
sarcoma,297
scoliosis,298
sexual and gender disorders,299
"sinus thrombosis, intracranial",300
skin diseases,301
skin neoplasms,302
skin ulcer,303
sleep initiation and maintenance disorders,304
somatosensory disorders,305
spermatocele,306
streptococcal infections,307
stroke,308
substance-related disorders,309
substance withdrawal syndrome,310
tachycardia,311
"tachycardia, ventricular",312
taste disorders,313
testicular diseases,314
tetany,315
thromboangiitis obliterans,316
thromboembolism,317
thrombophilia,318
thrombophlebitis,319
thrombosis,320
thyroid diseases,321
tibial fractures,322
torsades de pointes,323
tricuspid atresia,324
ureteral obstruction,325
urethral stricture,326
urinary bladder calculi,327
urinary retention,328
urination disorders,329
urogenital abnormalities,330
uterine cervical neoplasms,331
uterine diseases,332
uterine hemorrhage,333
uterine neoplasms,334
vaginal diseases,335
vascular malformations,336
"vasospasm, intracranial",337
venous thromboembolism,338
venous thrombosis,339
ventricular dysfunction,340
"ventricular dysfunction, left",341
ventricular fibrillation,342
vestibular diseases,343
vision disorders,344
vomiting,345
wasting syndrome,346
weight gain,347
xanthomatosis,348
"abortion, spontaneous",349
bone neoplasms,350
brain infarction,351
congenital diaphragmatic hernia,352
eosinophilia,353
exanthema,354
fanconi syndrome,355
"fibromatosis, aggressive",356
gastrointestinal neoplasms,357
gastrointestinal stromal tumors,358
glioma,359
glomerulonephritis,360
"hearing loss, sensorineural",361
hepatitis,362
"hepatitis, autoimmune",363
hypophosphatemia,364
"leukemia, experimental",365
"leukemia, myelogenous, chronic, bcr-abl positive",366
"leukemia, myeloid",367
lichenoid eruptions,368
liver cirrhosis,369
"liver failure, acute",370
muscle cramp,371
"muscular dystrophy, animal",372
"neoplasms, hormone-dependent",373
"neuroectodermal tumors, primitive, peripheral",374
osteolysis,375
osteopetrosis,376
peripheral nervous system diseases,377
precursor cell lymphoblastic leukemia-lymphoma,378
purpura,379
renal insufficiency,380
small cell lung carcinoma,381
stomach neoplasms,382
"thrombocythemia, essential",383
thyroid neoplasms,384
vasculitis,385
aberrant crypt foci,386
angina pectoris,387
anoxia,388
antisocial personality disorder,389
aortic aneurysm,390
burns,391
cerebrovascular disorders,392
"child development disorders, pervasive",393
colonic neoplasms,394
coronary disease,395
cryptorchidism,396
"depressive disorder, major",397
"diabetes mellitus, experimental",398
diabetic angiopathies,399
diabetic neuropathies,400
"dyskinesia, drug-induced",401
dysthymic disorder,402
dystocia,403
"epilepsies, myoclonic",404
erectile dysfunction,405
fetal nutrition disorders,406
